sl_no,gender,ssc_p,hsc_p,degree_p,workex,etest_p,mba_p,status,salary
141,M,65,64.8,69.5,Yes,56,56.94,Placed,265000
142,M,66,64,60,No,60,61.9,Not Placed,
143,M,85,60,73.43,Yes,60,61.29,Placed,260000
144,M,77.67,64.89,70.67,No,89,60.39,Placed,300000
145,M,52,50,61,No,60,58.52,Not Placed,
146,M,89.4,65.66,71.25,No,72,63.23,Placed,400000
147,M,62,63,66,No,85,55.14,Placed,233000
148,M,70,74,65,No,83,62.28,Placed,300000
149,F,77,86,56,No,57,64.08,Placed,240000
150,M,44,58,55,Yes,64.25,58.54,Not Placed,
151,M,71,58.66,58,Yes,56,61.3,Placed,690000
152,M,65,65,75,No,83,58.87,Placed,270000
153,F,75.4,60.5,84,No,98,65.25,Placed,240000
154,M,49,59,65,Yes,86,62.48,Placed,340000
155,M,53,63,60,Yes,70,53.2,Placed,250000
156,M,51.57,74.66,59.9,Yes,56.15,65.99,Not Placed,
157,M,84.2,69.4,65,Yes,80,52.72,Placed,255000
158,M,66.5,62.5,60.9,No,93.4,55.03,Placed,300000
159,M,67,63,64,No,60,61.87,Not Placed,
160,M,52,49,58,No,62,60.59,Not Placed,
161,M,87,74,65,Yes,75,72.29,Placed,300000
162,M,55.6,51,57.5,No,57.63,62.72,Not Placed,
163,M,74.2,87.6,77.25,Yes,75.2,66.06,Placed,285000
164,M,63,67,64,No,75,66.46,Placed,500000
165,F,67.16,72.5,63.35,No,53.04,65.52,Placed,250000
166,F,63.3,78.33,74,No,80,74.56,Not Placed,
167,M,62,62,60,Yes,63,52.38,Placed,240000
168,M,67.9,62,67,Yes,58.1,75.71,Not Placed,
169,F,48,51,58,Yes,60,58.79,Not Placed,
170,M,59.96,42.16,61.26,No,54.48,65.48,Not Placed,
171,F,63.4,67.2,60,No,58.06,69.28,Not Placed,
172,M,80,80,72,Yes,63.79,66.04,Placed,290000
173,M,73,58,56,No,84,52.64,Placed,300000
174,F,52,52,55,No,67,59.32,Not Placed,
175,M,73.24,50.83,64.27,Yes,64,66.23,Placed,500000
176,M,63,62,65,No,87.5,60.69,Not Placed,
177,F,59,60,56,No,55,57.9,Placed,220000
178,F,73,97,79,Yes,89,70.81,Placed,650000
179,M,68,56,68,No,73,68.07,Placed,350000
180,F,77.8,64,64.2,No,75.5,72.14,Not Placed,
181,M,65,71.5,62.8,Yes,57,56.6,Placed,265000
182,M,62,60.33,64.21,No,63,60.02,Not Placed,
183,M,52,65,57,Yes,75,59.81,Not Placed,
184,M,65,77,69,No,60,61.82,Placed,276000
185,F,56.28,62.83,59.79,No,60,57.29,Not Placed,
186,F,88,72,78,No,82,71.43,Placed,252000
187,F,52,64,61,No,55,62.93,Not Placed,
188,M,78.5,65.5,67,Yes,95,64.86,Placed,280000
189,M,61.8,47,54.38,No,57,56.13,Not Placed,
190,F,54,77.6,69.2,No,95.65,66.94,Not Placed,
191,F,64,70.2,61,No,50,62.5,Not Placed,
192,M,67,61,72,No,72,61.01,Placed,264000
193,M,65.2,61.4,64.8,Yes,93.4,57.34,Placed,270000
194,F,60,63,56,Yes,80,56.63,Placed,300000
195,M,52,55,56.3,No,59,64.74,Not Placed,
196,M,66,76,72,Yes,84,58.95,Placed,275000
197,M,72,63,77.5,Yes,78,54.48,Placed,250000
198,F,83.96,53,91,No,59.32,69.71,Placed,260000
199,F,67,70,65,No,88,71.96,Not Placed,
200,M,69,65,57,No,73,55.8,Placed,265000
201,M,69,60,65,No,87.55,52.81,Placed,300000
202,M,54.2,63,58,No,79,58.44,Not Placed,
203,M,70,63,66,No,61.28,60.11,Placed,240000
204,M,55.68,61.33,56.87,No,66,58.3,Placed,260000
205,F,74,73,73,Yes,80,67.69,Placed,210000
206,M,61,62,65,No,62,56.81,Placed,250000
207,M,41,42,60,No,97,53.39,Not Placed,
208,M,83.33,78,61,Yes,88.56,71.55,Placed,300000
209,F,43,60,65,No,92.66,62.92,Not Placed,
210,M,62,72,65,No,67,56.49,Placed,216000
211,M,80.6,82,77.6,No,91,74.49,Placed,400000
212,M,58,60,72,No,74,53.62,Placed,275000
213,M,67,67,73,Yes,59,69.72,Placed,295000
214,F,74,66,58,No,70,60.23,Placed,204000
215,M,62,58,53,No,89,60.22,Not Placed,
